รหัสสินค้า,ชื่อสินค้า,รหัสหน่วยนับ,ชื่อหน่วยนับ,ตัวตั้ง,ตัวหาร
10295493,โฮลซอเจาะแกรนิตโต้ 15MM  NASH,EA,ชิ้น,1,1
10295502,ดอกโรตารี่ 5*160MM NASH,EA,ชิ้น,1,1
10295505,ดอกโรตารี่ 12*260MM NASH,EA,ชิ้น,1,1
10295506,ดอกโรตารี่ 13*250MM NASH,EA,ชิ้น,1,1
10295507,ดอกโรตารี่ 14*200MM NASH,EA,ชิ้น,1,1
10300589,"ข้อต่อสี่ทางฉาก PVC 13.5 1/2""นัมเบอร์วัน",EA,ชิ้น,1,1
10300958,"ดาวไลท์ 4"" ฝัง เหลี่ยม/ดำ PM",ZWF,ชุด,1,1
10300959,"ดาวไลท์ 4"" ฝัง กลม/ดำ PM",ZWF,ชุด,1,1
10301635,12*12A MR-S DG นวลนาถขาว ก.11,B,กล่อง,1,1
10302515,"ท่อสั้นหน้าจาน PVC 4"" A+/THOR",EA,ชิ้น,1,1
10302516,"ท่อสั้นหน้าจาน PVC 6"" A+/THOR",EA,ชิ้น,1,1
10302564,โคมเพดาน 32W ขอบขาวอีโค่/AA2ริ้วขาว DC,ZWF,ชุด,1,1
10303448,เอ็นตัดหญ้า 2.4มม.*15ม. เหลี่ยมWS-003 NS,EA,ชิ้น,1,1
10303450,เอ็นตัดหญ้า 3.0มม.*15ม. เหลี่ยมWS-004 NS,EA,ชิ้น,1,1
10304100,"กรรไกรตัดกิ่ง 8"" DT1524-18 NASH",EA,ชิ้น,1,1
10304114,"กรรไกรตัดหญ้าด้ามแดง 10"" DT0524-60 NASH",EA,ชิ้น,1,1
10304365,กระบอกฉีดพ่นน้ำ 2L.DT0524-75 ส้ม NASH,EA,ชิ้น,1,1
10304598,"สกรูปลายสว่านแฉกแบน #8x5/8"" NASH แพค50",ZWG,แพค,1,1
10304602,"สกรูปลายสว่านแฉกแบน #6x1 1/4"" NASH แพค50",ZWG,แพค,1,1
10304613,"สกรูปลายสว่านแฉกแบน #8x2"" NASH แพค.50",ZWG,แพค,1,1
10304684,"สกรูปลายสว่านแฉกแบน #8x3/4"" NASH แพค50",ZWG,แพค,1,1
10304686,"สกรูปลายสว่านแฉกแบน #8x1 1/2"" NASH แพค50",ZWG,แพค,1,1
10304690,"สกรูปลายสว่านแฉกแบน #8x1 1/4"" NASH แพค50",ZWG,แพค,1,1
10304853,สลิงไส้เชือก 5มมX6X7 (50 ม) NASH,ROL,ม้วน,1,1
10304857,สลิงไส้เชือก 8มมX6X19 (50 ม) NASH,ROL,ม้วน,1,1
10304949,ล้อรถเข็นของเติมลม 10 นิ้ว NASH,EA,ชิ้น,1,1
10304951,ล้อรถเข็นปูนเติมลม 13 นิ้ว NASH,EA,ชิ้น,1,1
10304976,"สกรูปลายสว่านแฉกแบน #8x3"" NASH แพค25",ZWG,แพค,1,1
10305010,แว่นตานิรภัย DT0524-85 ใส NASH,EA,ชิ้น,1,1
10305011,แว่นตานิรภัย DT0524-86 ดำ NASH,EA,ชิ้น,1,1
10305012,แว่นตานิรภัย DT0524-88 ใส NASH,EA,ชิ้น,1,1
10305024,สกรูลอนคู่-ปม #12X75มิล NASH แพค.20,ZWG,แพค,1,1
10305025,สกรูลอนคู่-ปม#12X50มิล NASH แพค.20,ZWG,แพค,1,1
10305026,สกรูลอนคู่-ปม #12x125มิล NASH พ.10,ZWG,แพค,1,1
10305027,สกรูลอนคู่-ปม #12X100มิล NASH แพค.10,ZWG,แพค,1,1
10305030,สกรูลอนคู่ #16X75มิล NASH แพค.20,ZWG,แพค,1,1
10305031,สกรูลอนคู่ #16x63มิล NASH พ.20,ZWG,แพค,1,1
10305032,สกรูลอนคู่ #16X50มิล NASH แพค.20,ZWG,แพค,1,1
10305054,สกรูลอนคู่ #16x125มิล NASH พ.10,ZWG,แพค,1,1
10305055,สกรูลอนคู่ #16x100มิล NASH พ.10,ZWG,แพค,1,1
10305075,"สกรูปลายสว่านแฉกแบน #8x1"" NASH แพค50",ZWG,แพค,1,1
10305165,ถุงมือชุบยาง ผ้าขาวยางส้ม NASH,PAA,คู่,1,1
10305166,ถุงมือยางส้ม #S DT0524-78 NASH,PAA,คู่,1,1
10305167,ถุงมือยางส้ม #M DT0524-78 NASH,PAA,คู่,1,1
10305168,ถุงมือยางส้ม #L DT0524-78 NASH,PAA,คู่,1,1
10305169,ถุงมือไนล่อนเคลือบ PVC เทา NASH,PAA,คู่,1,1
10305170,ถุงมือไนล่อนเคลือบ PVC เขียว NASH,PAA,คู่,1,1
10305175,ถุงมือหนังยาว น้ำเงิน DT0524-74 NASH,PAA,คู่,1,1
10305176,ถุงมือหนังยาว DT0524-73 NASH,PAA,คู่,1,1
10305177,ถุงมือหนังสั้นขาว DT0524-76 NASH,PAA,คู่,1,1
10305178,ถุงมือหนังสั้นเหลือง DT0524-77 NASH,PAA,คู่,1,1
10305196,แว่นตากันสะเก็ด DT0524-98 NASH,EA,ชิ้น,1,1
10306700,แปรงทาสีเข้ามุมด้ามงอ1 นิ้ว NASH,EA,ชิ้น,1,1
10306701,แปรงทาสีเข้ามุมด้ามงอ1.5 นิ้ว NASH,EA,ชิ้น,1,1
10306702,แปรงทาสีเข้ามุมด้ามงอ2 นิ้ว NASH,EA,ชิ้น,1,1
10306747,"เฉพาะโฟมลูกกลิ้งทาสี 2""แพค2 NASH",ZWG,แพค,1,1
10306945,แว่นตานิรภัย DT0524-89 ดำ NASH,EA,ชิ้น,1,1
10307901,"เกียงก่อปลายแหลม 6"" ด้ามไม้ NASH",EA,ชิ้น,1,1
10307921,"เกียงก่อ 5"" ด้ามไม้ NASH",EA,ชิ้น,1,1
10307944,ถาดกะบะปูนฉาบ 30x30CM NASH,EA,ชิ้น,1,1
10307946,เกียงฉาบฝ้า 120x280MM ด้ามพลาสติก NASH,EA,ชิ้น,1,1
10307947,เกียงปูกระเบื้องยาง 28CMด้ามพลาสติก NASH,EA,ชิ้น,1,1
10307950,เกียงยางฉาบเรียบ 215x135x10MM NASH,EA,ชิ้น,1,1
10307964,มือจับกระดาษทราย 240x80x10MMด้ามจับ NASH,EA,ชิ้น,1,1
10307965,เกียงฉาบพลาสติก DT0524-29 NASH,EA,ชิ้น,1,1
